epoch,accuracy,loss,val_accuracy,val_loss
0,0.9370999932289124,0.2384006232023239,0.958899974822998,0.12908242642879486
1,0.9706666469573975,0.10331440716981888,0.967199981212616,0.10219643265008926
2,0.9771833419799805,0.08014049381017685,0.9706000089645386,0.09163042157888412
3,0.9808666706085205,0.06708117574453354,0.9718999862670898,0.0862252488732338
4,0.9834333062171936,0.058195218443870544,0.9729999899864197,0.08293242752552032
5,0.9854333400726318,0.05152482911944389,0.973800003528595,0.08069871366024017
6,0.9870333075523376,0.04624086245894432,0.9746000170707703,0.07895615696907043
7,0.988349974155426,0.041920967400074005,0.9757999777793884,0.0775534138083458
8,0.989633321762085,0.03828227519989014,0.9764999747276306,0.07650035619735718
9,0.9908333420753479,0.035139210522174835,0.9764000177383423,0.0757584497332573
